ppm,intensity
63.1685,2400.25
63.3159,2270.09
63.4632,2142.72
63.6106,2020.59
63.758,1908.48
63.9053,1806.07
64.0527,1710.68
64.2,1623.43
64.3474,1545.88
64.4948,1472.81
64.6421,1397.41
64.7895,1321.05
64.9368,1246.3
65.0842,1172.98
65.2316,1103.03
65.3789,1037.2
65.5263,972.273
65.6737,904.089
65.821,834.373
65.9684,768.527
66.1157,711.913
66.2631,662.154
66.4105,609.336
66.5578,554.029
66.7052,504.425
66.8525,463.405
66.9999,426.325
67.1473,391.016
67.2946,357.283
67.442,321.808
67.5893,288.093
67.7367,262.541
67.8841,242.272
68.0314,222.105
68.1788,205.158
68.3262,191.915
68.4735,180.93
68.6209,170.129
68.7682,158.147
68.9156,148.683
69.063,138.301
69.2103,124.33
69.3577,109.834
69.505,101.898
69.6524,102.784
69.7998,102.874
69.9471,98.64
70.0945,94.5042
70.2418,93.838
70.3892,94.6678
70.5366,91.898
70.6839,86.2895
70.8313,80.4714
70.9787,74.366
71.126,70.9365
71.2734,73.9697
71.4207,80.9184
71.5681,86.9992
71.7155,91.7856
71.8628,94.4239
72.0102,95.2574
72.1575,95.7183
72.3049,96.9351
72.4523,99.937
72.5996,98.0162
72.747,88.9219
72.8943,79.3101
73.0417,75.1731
73.1891,77.4931
73.3364,80.1641
73.4838,79.4792
73.6312,75.6401
73.7785,67.2199
73.9259,57.8499
74.0732,55.4877
74.2206,58.4925
74.368,56.8889
74.5153,49.1044
74.6627,42.714
74.81,39.92
74.9574,39.6656
75.1048,40.2156
75.2521,40.6
75.3995,43.6983
75.5468,47.7085
75.6942,50.0999
75.8416,51.8525
75.9889,49.6422
76.1363,41.7022
76.2837,34.2859
76.431,30.2017
76.5784,26.8041
76.7257,22.7076
76.8731,20.708
77.0205,22.1608
77.1678,25.0687
77.3152,28.7508
77.4625,28.8883
77.6099,24.295
77.7573,18.4314
77.9046,13.6837
78.052,10.4733
78.1993,7.22824
78.3467,3.99774
78.4941,-0.514276
78.6414,-4.74221
78.7888,-5.77542
78.9362,-4.31518
79.0835,-1.77371
79.2309,0.14571
79.3782,2.34857
79.5256,5.51974
79.673,8.49023
79.8203,11.1595
79.9677,16.1853
80.115,24.1211
80.2624,28.8718
80.4098,26.7323
80.5571,20.7657
80.7045,14.7222
80.8519,12.0243
80.9992,13.7867
81.1466,16.8369
81.2939,16.6465
81.4413,9.00331
81.5887,-2.69138
81.736,-13.8267
81.8834,-21.2024
82.0307,-20.3529
82.1781,-15.9136
82.3255,-13.4481
82.4728,-11.7845
82.6202,-9.58441
82.7675,-4.78137
82.9149,3.76504
83.0623,8.23103
83.2096,7.49459
83.357,8.67843
83.5044,13.2885
83.6517,22.1094
83.7991,32.2668
