ppm,intensity
34.1384,4173.36
34.2857,3941.23
34.4331,3721.04
34.5804,3509.74
34.7278,3303.7
34.8752,3104.26
35.0225,2916.85
35.1699,2745.58
35.3172,2592.87
35.4646,2460.7
35.612,2344.78
35.7593,2233
35.9067,2124
36.0541,2026.54
36.2014,1943.02
36.3488,1866.39
36.4961,1791.11
36.6435,1724.31
36.7909,1668.86
36.9382,1623.06
37.0856,1586.49
37.2329,1553.69
37.3803,1521.99
37.5277,1491.78
37.675,1464.31
37.8224,1438.09
37.9698,1410.95
38.1171,1383.2
38.2645,1358.17
38.4118,1339.26
38.5592,1324.08
38.7066,1309.31
38.8539,1292.95
39.0013,1276.71
39.1486,1263.58
39.296,1251.58
39.4434,1239.47
39.5907,1231.56
39.7381,1233.19
39.8854,1247.89
40.0328,1275.08
40.1802,1310.57
40.3275,1352.05
40.4749,1397.91
40.6223,1450.99
40.7696,1519.59
40.917,1604.08
41.0643,1701.03
41.2117,1809.47
41.3591,1922.26
41.5064,2027.99
41.6538,2124.69
41.8011,2220.27
41.9485,2312.95
42.0959,2394.71
42.2432,2464.68
42.3906,2522.16
42.5379,2565
42.6853,2589.51
42.8327,2589.63
42.98,2567.16
43.1274,2530.36
43.2748,2481.07
43.4221,2417.76
43.5695,2342.3
43.7168,2257.06
43.8642,2163.94
44.0116,2071.04
44.1589,1983.32
44.3063,1892.17
44.4536,1791.93
44.601,1691.02
44.7484,1595.96
44.8957,1506.52
45.0431,1424.28
45.1904,1347.81
45.3378,1282.03
45.4852,1232.96
45.6325,1199.26
45.7799,1180.71
45.9273,1173.93
46.0746,1175.69
46.222,1185.39
46.3693,1203.27
46.5167,1228.02
46.6641,1257.51
46.8114,1289.21
46.9588,1322.81
47.1061,1361.09
47.2535,1401.04
47.4009,1435.07
47.5482,1465.36
47.6956,1499.96
47.8429,1533.06
47.9903,1561.01
48.1377,1588.56
48.285,1619.61
48.4324,1661.31
48.5798,1717.87
48.7271,1788.8
48.8745,1868.63
49.0218,1951.85
49.1692,2035.08
49.3166,2111.24
49.4639,2176.16
49.6113,2230.07
49.7586,2269.49
49.906,2296.22
50.0534,2317.48
50.2007,2334.13
50.3481,2351.22
50.4955,2379.95
50.6428,2425.78
50.7902,2490.74
50.9375,2577.52
51.0849,2687.8
51.2323,2820.75
51.3796,2970.65
51.527,3130.98
51.6743,3298.99
51.8217,3471.93
51.9691,3646.46
52.1164,3817.11
52.2638,3975.85
52.4111,4117.64
52.5585,4238.02
52.7059,4333.61
52.8532,4402.79
53.0006,4445.65
53.148,4467
53.2953,4467.5
53.4427,4449.27
53.59,4421.42
53.7374,4388.58
53.8848,4348
54.0321,4295.64
54.1795,4230.78
54.3268,4151.74
54.4742,4061.99
54.6216,3971.42
54.7689,3885.58
54.9163,3802.89
55.0636,3716.22
55.211,3620.73
55.3584,3514.44
55.5057,3396.48
55.6531,3270.84
55.8005,3140.26
55.9478,3004.86
56.0952,2867.34
56.2425,2733.12
56.3899,2603.42
56.5373,2474.43
56.6846,2349.29
56.832,2233.64
56.9793,2127.93
57.1267,2032.8
57.2741,1948.59
57.4214,1871
57.5688,1796.13
57.7161,1730.64
57.8635,1683.54
58.0109,1654.55
58.1582,1637.12
58.3056,1633.12
58.453,1655.38
58.6003,1705.23
58.7477,1778.3
58.895,1877.13
59.0424,2001.59
59.1898,2148.27
59.3371,2316.44
59.4845,2504.61
59.6318,2707.11
59.7792,2924.43
59.9266,3150.39
60.0739,3368.96
60.2213,3572.53
60.3686,3757.19
60.516,3921
60.6634,4063.01
60.8107,4178.79
60.9581,4263.21
61.1055,4313.59
61.2528,4333.68
61.4002,4331.07
61.5475,4306.78
61.6949,4256.82
61.8423,4174.72
61.9896,4058.69
62.137,3919.84
62.2843,3767.84
62.4317,3602.96
62.5791,3426.59
62.7264,3246.37
62.8738,3066.59
63.0211,2890.43
63.1685,2725.37
63.3159,2575.38
63.4632,2437.26
63.6106,2308.16
63.758,2188.58
63.9053,2076.83
64.0527,1975.86
64.2,1887.3
64.3474,1806.61
64.4948,1730.44
64.6421,1656.14
64.7895,1582.84
64.9368,1507.11
65.0842,1423.08
65.2316,1333.44
65.3789,1249.95
65.5263,1173.13
65.6737,1097.89
65.821,1028.49
65.9684,963.132
66.1157,896.273
66.2631,827.646
66.4105,763.669
66.5578,708.29
66.7052,658.287
66.8525,611.034
66.9999,565.659
67.1473,523.886
67.2946,480.489
67.442,439.645
67.5893,412.703
67.7367,395.387
67.8841,382.342
68.0314,370.012
68.1788,354.988
68.3262,337.565
68.4735,320.32
68.6209,302.73
